Id,keywords,alb,sch,hai,plot_level,grassland,forest,aboveground,belowground,field,laboratory,review,infrastructure,biotic_data_taxon,biotic_data_type,environmental_descriptors,processes_and_services,experimentType
30000,"Birds, Forest fragmentation, Habitat-association modelling, Hierarchical state-space, Landscape attributes, Multiple-scale effects, Random forest classifier, Species turnover, Silviculture",Yes,No,No,EP (all),No,Yes,Yes,No,Yes,No,No,None,Animals - Vertebrates,Multiple species,Land use (unmanaged); Land use (managed),None,
30001,"Biotic interactions, Ecological monitoring, Ecosystem services, Forest management, Grassland, Land use, Landscape, Species richness",Yes,Yes,Yes,None,No,No,No,No,No,No,Yes,Theory/Modeling/Methodological approaches; Central coordination/LMT,None,None,Land use (unmanaged); Land use (managed),None,
30002,"Statistics web service, integrated analysis",No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30003,"Scientific Data Management, Semantic Integration",No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30004,Integrated Analysis,No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30005,"Ontologien, Datenintegration",No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30006,Landnutzung,Yes,No,No,VIP (few),Yes,No,No,Yes,Yes,Yes,No,None,Microbes,Total abundance,Land use (unmanaged); Land use (managed); Soil,Biogeochemical cycle; Productivity,
30007,"Enzymaktivität, Heterogenität",Yes,No,No,VIP (few),Yes,No,No,Yes,Yes,Yes,No,None,Microbes,Total abundance,Land use (unmanaged); Land use (managed); Soil,Biogeochemical cycle,
30008,Bodenpilze,Yes,No,No,VIP (few),Yes,Yes,No,Yes,Yes,Yes,No,None,Fungi,Total abundance; Multiple species,Land use (managed); Soil,None,
30009,"Pilzen, Weidelgras",No,No,Yes,None,Yes,No,Yes,Yes,No,Yes,No,None,Microbes,Multiple species,Soil,Productivity,
30010,"Plantago lanceolata, Stickstoffdüngung",No,Yes,No,EP (few),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Multiple species; Total abundance,None,Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30011,Mecinus pascuorum,No,No,No,None,No,No,Yes,No,No,Yes,No,None,Animals - Invertebrates,Single species,None,Ecological process - Herbivory,
30012,"Osmia bicornis, Raps",Yes,No,Yes,EP (few),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Single species,Land use (unmanaged),None,
30013,Herbivorie,Yes,Yes,Yes,VIP (all),No,Yes,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Herbivory,
30014,"Plantago lanceolata, Cecidomyiidae, Chalcidoidea",Yes,No,No,VIP (all),Yes,No,Yes,No,Yes,No,No,Data management; Theory/Modeling/Methodological approaches; Instrumentation/Remote sensing,Plants; Animals - Invertebrates,Multiple species; Total abundance,Land use (unmanaged); Land use (managed),Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism; Ecological process - Dispersal,
30015,"Jaapiella schmidti, Lestodiplosis sp.",Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Single species; Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30016,Methanol-oxidierende Mikroorganismen,Yes,Yes,Yes,None,Yes,Yes,No,Yes,No,Yes,No,None,Microbes,Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle,
30017,Osmia bicornis,Yes,No,Yes,None,Yes,No,Yes,No,Yes,No,No,None,Animals - Invertebrates,Single species,None,None,
30018,Nahinfrarotspektroskopie,No,No,Yes,None,Yes,No,Yes,No,Yes,Yes,No,None,Plants,Multiple species,None,None,
30019,Landschaftsstruktur,Yes,Yes,Yes,EP (all),Yes,Yes,No,No,No,No,No,None,None,None,None,None,
30020,"Wurzelherbivore, Mykorrhizierung",No,No,No,None,Yes,No,Yes,Yes,No,Yes,No,None,Plants; Fungi; Animals - Invertebrates,Single species; Multiple species,None,Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30021,"Plantago lanceolata, Elateriden Larven",No,Yes,No,EP (few),Yes,No,Yes,Yes,No,Yes,No,None,Plants; Fungi; Animals - Invertebrates,Multiple species,Soil,Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30022,"Arthropod communities, canopy, monitoring, trap placement strategy",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30023,"Cellular automata, coupled map lattice, Markov chain, torus, absorbing boundary, restricting boundary, colonisation, immigration, emigration",No,No,No,None,No,No,No,No,No,No,No,Theory/Modeling/Methodological approaches,None,None,None,Ecological process - Dispersal,
30024,"Large ungulates, faecal pellet group count, forest management, browsing damage",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30025,"Soil aggregation, Structural equation modeling, Carbon sequestration, Mowing, Grazing,Fertilization, Hydrophobicity, Arbuscular mycorrhizal fungi",Yes,Yes,Yes,VIP (all),Yes,No,Yes,Yes,Yes,No,No,None,Plants; Fungi,Multiple species; Total abundance,Soil,None,
30026,"Multitrophic interactions, plant species richness, ribwort plantain, vegetation structure, fertilization, mowing, grazing,Plantago lanceolata,Mecinusspp.,Mesopolobus incultus, Curculionidae, Pteromalidae",Yes,Yes,Yes,GP (few),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Total abundance,Land use (unmanaged); Land use (managed),Ecological process - Predation/Parasitism,
30027,"Acidobacteria, bacterial diversity, land use",Yes,Yes,Yes,VIP (all),Yes,Yes,No,Yes,No,Yes,No,Theory/Modeling/Methodological approaches; Inventory/Campaign,Microbes,Multiple species; Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle; Productivity,
30028,"Grassland, land-use intensity, ammonia oxidizers, denitrifiers, geostatistics",Yes,No,No,VIP (few),Yes,No,No,Yes,Yes,Yes,No,None,Microbes,Genetic; Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle; Ecological process - Dispersal,
30029,"bottom-up control, microorganism, multi-trophic interaction, predator exclosure, top-down control",Yes,No,Yes,None,Yes,No,Yes,No,Yes,No,No,None,None,None,Land use (unmanaged); Land use (managed),None,
30030,"New species, Methylobacterium, Methylobacterium cerastii sp. nov.",No,No,Yes,None,No,No,Yes,No,No,Yes,No,None,Microbes,Genetic,None,Biogeochemical cycle,
30031,Biodiversity exploratories; Cover-weighting; Near-infrared reflectance spectroscopy (NIRS); Nitrogen; Nutrient concentrations; Phosphorus,Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,Yes,No,None,Plants,None,None,Biogeochemical cycle,
30032,"New species, Williamsia, Williamsia phyllosphaerae sp. nov.",No,No,No,None,No,No,No,No,No,Yes,Yes,None,Microbes,Single species; Genetic,None,None,
30033,"lipolytic genes , soil",Yes,Yes,Yes,VIP (few),Yes,Yes,No,Yes,No,Yes,No,Data management; Inventory/Campaign,Microbes,Genetic; Multiple species,Soil; Land use (unmanaged); Land use (managed),Decomposition,
30034,"biodiversity, coarse-filter approach, forest understorey, gap shape complexity index, unmanned aerial vehicles",Yes,No,Yes,EP (few),No,Yes,Yes,No,Yes,No,No,Instrumentation/Remote sensing,Plants,Multiple species; Total abundance,Land use (unmanaged); Land use (managed); Soil,None,
30035,"herbivory, induction, iridoid glucosides, jasmonic acid, metabolic fingerprinting, metabolomics, phytohormones, salicylic acid",No,No,No,None,No,No,Yes,No,No,Yes,No,Theory/Modeling/Methodological approaches,Plants; Animals - Invertebrates,Multiple species,None,Ecological process - Herbivory,
30036,"Vision, Ecosystem services, Communication, Pollination, Grassland management",Yes,No,Yes,VIP (few),Yes,No,Yes,No,Yes,No,No,None,Plants,Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Pollination,
30037,"Soil structure, Fractals, Power-law exponent, MWD, WSA, C, N, AMF, Plant, Collembola, Biodiversity Exploratories",Yes,Yes,Yes,VIP (all),Yes,No,No,Yes,Yes,Yes,No,None,Fungi,Total abundance; Multiple species,Soil,None,
30038,"ants, myrmecochory, gastropodochory, Arion, slug, seed dispersal",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30039,"Seed dispersal, gastropod Species",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30040,"Yeast fungi, Ascomycota, Basidiomycota, soil fungi, biodiversity, community  structure, community evenness, land use gradient, forestry, agriculture",Yes,Yes,Yes,VIP (all),Yes,Yes,No,Yes,No,Yes,No,Inventory/Campaign,Fungi,Multiple species; Total abundance,Land use (managed); Land use (unmanaged); Soil,Ecological process - Dispersal,
30041,"carbon, NIRS, nitrogen, phosphorus, potassium, fibre fractions, PLSR regression,  chemical composition of organic material, grasslands, productivity, biomass",Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,Yes,No,Inventory/Campaign,Plants,Multiple species,None,None,
30042,"methanol oxidation, soil, methylotroph, ecological niche",No,No,No,None,No,No,No,Yes,No,No,No,None,Microbes,Total abundance; Multiple species,Soil,Biogeochemical cycle,
30043,"solitary bees, pollen, amino acids, oligolecty",No,No,No,None,No,No,Yes,No,No,Yes,Yes,None,Plants,Single species,None,Ecological process - Pollination,
30044,"Soil type, Carbon storage, Soil organic matter, Minimum detectable difference, Soil sampling, Regional scale",No,No,Yes,GP (few),No,Yes,No,Yes,Yes,Yes,No,Central coordination/LMT; Inventory/Campaign,None,None,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle,
30045,"Bird,  Swabian Alb",Yes,No,No,None,No,No,Yes,No,Yes,No,No,None,Plants; Animals - Vertebrates,Multiple species; Total abundance,None,Ecological process - Herbivory,
30046,Clavispora reshetovae,Yes,No,Yes,VIP (few),Yes,No,No,Yes,Yes,Yes,No,Inventory/Campaign,Fungi,Single species,Soil; Land use (unmanaged); Land use (managed),Decomposition,
30047,Barnettozyma vustinii,No,Yes,Yes,VIP (few),Yes,Yes,No,Yes,Yes,Yes,No,Inventory/Campaign,Fungi,Single species,Soil; Land use (managed); Land use (unmanaged),Decomposition,
30048,"Convergent evolution, adaptation, ecological niche, preadaptation, oribatid mites,  constraints",No,No,Yes,VIP (few),No,Yes,No,Yes,Yes,No,No,None,Animals - Invertebrates,Multiple species; Genetic,Soil; Land use (managed),Decomposition,
30049,"Elateridenlarven, Agriotes spp., AMF-Gemeinschaften",No,Yes,No,EP (few),Yes,No,Yes,Yes,No,Yes,No,None,Plants; Fungi; Animals - Invertebrates,Multiple species; Total abundance,Soil,Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30050,"Water content, soil texture, pF, organic carbon, soil organic matter, clay mineralogy",No,No,Yes,None,No,Yes,No,Yes,Yes,Yes,No,None,None,None,Soil,Biogeochemical cycle,
30051,Buche,No,No,Yes,None,No,Yes,Yes,No,No,No,Yes,None,Plants,Multiple species,Land use (unmanaged); Land use (managed),Productivity,
30052,Bodenmetagenomen,Yes,Yes,Yes,VIP (all),Yes,Yes,No,Yes,No,Yes,No,Inventory/Campaign,Microbes,Multiple species; Total abundance,Soil; Land use (unmanaged); Land use (managed),None,
30053,"Habitat complexity, Plant structures, Chemical diversity, Odour plumes, Arthropod orientation, Herbivore - carnivore interactions",No,No,No,None,No,No,No,No,No,No,Yes,None,Plants; Animals - Invertebrates,None,None,None,
30054,"Beech, Competition, Genotype, Polymorphic nuclear microsatellite, Shannon index",No,No,Yes,EP (few),No,Yes,No,Yes,Yes,No,No,None,Fungi,Multiple species,Soil,None,
30055,"phosphorus, land-use intensity, nutrient supply, grassland, forest, sequential phosphorus extraction",Yes,Yes,Yes,EP (all),Yes,Yes,No,Yes,No,Yes,No,Inventory/Campaign,None,None,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle,
30056,"food-web, predator-prey interaction, herbivory, bird, bat, leaf damage,   forest ecosystem processes, vertebrate exclusion, trophic cascade,  canopy",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30057,"Carbon cycle, forestry, Germany, human appropriation, management intensity, operational intensity, planning intensity",No,No,No,None,No,Yes,Yes,No,Yes,No,No,None,Plants,Multiple species,Land use (unmanaged); Land use (managed),Productivity,
30058,"land use, grassland,  microbial communities",Yes,No,No,VIP (all),Yes,No,Yes,Yes,Yes,Yes,No,None,Microbes; Plants,Multiple species; Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle,
30059,"Soil enzyme activities, Microbial biomass, Spatial distribution, Land use, Grassland,  Geostatistics",Yes,No,No,VIP (all),Yes,No,No,Yes,Yes,Yes,No,None,Microbes; Fungi,Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle; Decomposition; Ecological process - Dispersal,
30060,"dispersal by snails, endozoochorous lichen",No,No,No,None,No,No,No,No,No,Yes,No,Inventory/Campaign,Fungi; Animals - Invertebrates,Multiple species,None,Ecological process - Herbivory,
30061,"metabolic rate, body mass, invertebrates, phylogenetic groups, curvature, temperature,  polynomials, MTE, respiration",No,No,Yes,None,No,Yes,No,Yes,No,Yes,Yes,None,Animals - Invertebrates,Multiple species,None,None,
30062,"Biodiversity exploratories, Mowing; Grazing, AFLP, Veronica, Breeding system, Pollination experiment, Pollen–ovule ratio, Isolation by distance, Spatial autocorrelation",Yes,Yes,Yes,EP (few),Yes,No,Yes,No,Yes,Yes,No,None,Plants,Genetic; Single species,Land use (managed),Ecological process - Dispersal,
30063,"Land use, Biodiversity, Forestry, tropical ecosystem, temperate ecosystem",No,No,Yes,EP (all),No,Yes,Yes,No,Yes,No,No,Inventory/Campaign,Animals - Invertebrates,Multiple species; Total abundance,None,None,
30064,Globalstrahlung,No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30065,"Biodiversity Exploratories, Biological conservation, (Semi-natural) Grasslands, Plant functional traits, Indicators, Land-use intensity",Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,No,No,None,Plants,Multiple species,Land use (managed); Soil,Productivity,
30066,"Arion, Beech forest, Gastropodochory, Granivores, Myrmecochores",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30067,"Coleoptera, Staphylinidae, climate warming, thuringian forest, Hainich, new records, distribution",No,No,Yes,None,Yes,No,Yes,No,Yes,No,Yes,None,Animals - Invertebrates,Single species,None,None,
30068,"Bodenkohlenstoffvorräte,  Hainich",No,No,Yes,GP (few),No,Yes,No,Yes,Yes,Yes,No,None,None,None,Soil,Biogeochemical cycle; Decomposition,
30069,"Swabian Alb, Corvids",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30070,"Modelling coexistence , grassland communities",No,No,No,None,Yes,No,Yes,Yes,No,No,Yes,Theory/Modeling/Methodological approaches,Plants,Single species; Multiple species; Total abundance,Soil; Land use (managed),Productivity; Ecological process - Herbivory; Ecological process - Dispersal,
30071,Bodenmesofauna,No,Yes,No,None,Yes,No,Yes,Yes,Yes,Yes,No,None,Plants; Animals - Invertebrates,Multiple species,Soil,None,
30072,"Species richness, species evenness, species diversity, species composition,  biomass production, grazing, mowing, fertilisation, Swabian Alb, Biodiversity  Exploratories",Yes,No,No,EP (few),Yes,No,Yes,No,Yes,No,No,None,Plants,Multiple species; Total abundance,Soil; Land use (managed); Climate,Productivity,
30073,Troglodytes troglodytes,No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30074,"Plantago lanceolata, Herbivorendichte",Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,Yes,No,None,Plants; Animals - Invertebrates,Single species; Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Herbivory,
30075,"Collembola,   Molecular detection",No,No,Yes,EP (few),No,Yes,No,Yes,Yes,Yes,No,None,Animals - Invertebrates,Multiple species,Soil,Decomposition,
30076,"Growing Stock, Tree Species",No,No,No,None,No,Yes,Yes,No,Yes,No,No,None,Plants,Multiple species,Land use (unmanaged); Land use (managed),Productivity,
30077,"Ontologie, Datensätze",No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30078,"Kalkbuchenwald, Nationalpark Hainich",No,No,Yes,None,No,Yes,Yes,No,No,No,No,None,Plants,Multiple species,None,None,
30079,"Community ecology, Ecosystem processes, Ecosystem services, Landscape ecology, Large-scale ecological research, Large-scale experiments, Population biology",Yes,Yes,Yes,None,No,No,No,No,No,No,Yes,Theory/Modeling/Methodological approaches; Central coordination/LMT,None,None,Land use (unmanaged); Land use (managed),None,
30080,Biodiversity,Yes,Yes,Yes,None,No,No,No,No,No,No,Yes,Central coordination/LMT; Theory/Modeling/Methodological approaches,None,None,Land use (unmanaged); Land use (managed),None,
30081,"Agaricomycotina, entropy, internal OTU distance, rDNA, ribosomal large subunit, soil fungi",No,No,Yes,VIP (all),No,Yes,No,Yes,Yes,Yes,No,Theory/Modeling/Methodological approaches; Inventory/Campaign,Fungi,Multiple species; Genetic; Total abundance,None,None,
30082,spectral synthesis,No,No,No,None,No,No,No,No,No,No,No,Theory/Modeling/Methodological approaches,None,None,None,None,
30083,"Araneae, Carabidae, cup traps, functional guilds, funnel traps, Muridae, sampling efficiency, soricidae",No,No,Yes,EP (few),Yes,No,Yes,No,Yes,No,No,None,Animals - Vertebrates; Animals - Invertebrates,Multiple species; Total abundance,None,None,
30084,Biodiversitätsforschung,Yes,Yes,Yes,None,No,No,No,No,No,No,Yes,Central coordination/LMT; Theory/Modeling/Methodological approaches,None,None,Land use (unmanaged); Land use (managed),None,
30085,Bodenmetagenomen,Yes,Yes,No,VIP (few),Yes,Yes,No,Yes,No,Yes,No,Inventory/Campaign,Microbes,Genetic,Soil,None,
30086,Schorfheide-Chorin,No,Yes,No,GP (few),No,Yes,Yes,No,Yes,No,No,None,Animals - Vertebrates,Multiple species,Land use (unmanaged); Land use (managed),None,
30087,"lipolytische Enzyme, Nationalpark Hainich",No,No,Yes,VIP (few),No,Yes,No,Yes,No,Yes,No,Inventory/Campaign,Microbes,Genetic,Soil,None,
30088,Plantago lanceolata L.,No,Yes,No,EP (few),Yes,No,Yes,No,Yes,Yes,No,None,Plants; Animals - Invertebrates,Single species; Multiple species,Soil; Land use (unmanaged); Land use (managed),Ecological process - Predation/Parasitism,
30089,"Myriapods, Isopods, Lumbricids, Grassland",Yes,Yes,Yes,None,Yes,No,Yes,Yes,Yes,No,No,None,Animals - Invertebrates,Multiple species,Land use (managed),Decomposition; Ecological process - Predation/Parasitism,
30090,"Gemeinschaftsstruktur, Carabidae, Grassland, Community",Yes,Yes,Yes,None,Yes,No,Yes,No,Yes,No,No,None,Animals - Invertebrates,Multiple species,Land use (managed),Ecological process - Predation/Parasitism; Ecological process - Herbivory,
30091,"Algenbiofilmen ,  Baumrinden",Yes,Yes,Yes,VIP (all),No,Yes,Yes,No,Yes,Yes,No,None,Microbes,Total abundance; Multiple species,Land use (unmanaged); Land use (managed),None,
30092,"Spinnengemeinschaften, Grünland-Bewirtschaftung",Yes,Yes,Yes,None,Yes,No,Yes,No,Yes,No,No,None,Animals - Invertebrates,Multiple species,Land use (managed),Ecological process - Predation/Parasitism,
30093,"Mesopolobus incultus, Plantago lanceolata, Landnutzung",Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,Yes,No,None,Plants; Animals - Invertebrates,Single species; Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30094,"Protozoa,  woodland soil",No,No,Yes,None,Yes,No,No,Yes,No,Yes,No,None,Microbes,Multiple species,Soil,Biogeochemical cycle,
30095,"Samenverbreiter, Samenprädatoren",Yes,Yes,Yes,VIP (all),No,Yes,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,None,Land use (unmanaged); Land use (managed),Ecological process - Dispersal,
30096,"Elateriden Larven, AMF-Abundanz",No,Yes,No,EP (few),Yes,No,Yes,Yes,No,Yes,No,None,Plants; Fungi; Animals - Invertebrates,Multiple species,Soil,Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30097,Totholz,No,No,No,None,No,No,No,No,No,No,No,None,None,Total abundance,Soil,Biogeochemical cycle; Decomposition; Productivity,
30098,"Landnutzung, Diversität",Yes,Yes,Yes,EP (all),Yes,Yes,Yes,No,Yes,No,No,None,Animals - Invertebrates,Multiple species,Land use (unmanaged); Land use (managed),None,
30099,"Fertilisation, Mowing, Plant–pollinator networks, Diversity, Pollinators, Insects",Yes,No,No,None,Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Single species; Multiple species; Total abundance,Land use (managed),Ecological process - Pollination,
